12345678912MARIA SOUZA                   SPCAMPINAS                      1234567801022010
22222222222JOAO FEITOSA                  RJCABOFRIO                      1234567804032009
33333333333JULIO MASSA                   MTCUIABA                        1234567823122008
44444444444JOSE FERREIRA                 TOPALMAS                        1234567803092011
12345678912BRUNO SANTOS                  RJNITEROI                       1234567805062009
40320963532JENIFER ANISTON               AMMANAUS                        4275433708092008
26252524242ALICIA SILVESTON              CEFORTALEZA                     2455765412052010
42345685433PATRICIA DE SABRI             PITERESINA                      2476532219082011
42323233232ALICIA KAE                    SPSAO PAULO                     5433567604102010
54545335353ALEXANDRE OSWALD              RJRIO DE JANEIRO                9888777605092008
43535436262MOACIR VINCESLAU              SPCAMPINAS                      9876543313062010
34536289226RODRIGO YAMAMOTO              RJCABOFRIO                      8888111109032011
23423748242ANDREA CORRS                  MTCUIABA                        3333222205062010
42355665344ANA PAULA AROSIO              TOPALMAS                        4444555526112010
35536454754JESSICA ALBA                  RJNITEROI                       3333222209012011
64646465644CHARLES MILLER                AMMANAUS                        2222111102022010
64667467644ROBSON GUIMARAES              CEFORTALEZA                     5555444404042010
13243535354ARTUR MALUF                   SPSAO PAULO                     6666222209082011
45367865433ROBERTO MORENO                SPCAMPINAS                      1111222208062010
54399854354REGIANE ALVES                 SPCOTIA                         3333222215102011
65444335564INGRID GUIMARES               SPJUNDIAI                       7777444401052011
87676754443DEBORA SECCO                  SPOSASCO                        5555999904032010
65432567789ROBERT GARCIA                 SPBARRETOS                      1111222205052010
65883567781RYO SAKASAKI                  RJCOPACABANA                    2222333307082011  
12345678912MARIA                         SPTO                            1234567823092011

