12345678912MARIA                         SPCEARA                         1111222201022010
12345678913JOAO                          CEFOFO                          3333444403042008
12345678914LUCAS                         AMMANAUS                        1111333323092011
12345678915BRUNO                         MAMARANHAO                      2222333321072009
12345678916JOSE                          RSPORTO ALEGRE                  2222111108012011
12345678917MATEUS                        SPREGISTRO                      3333888807112010
12345678918ROSE                          SPCAMPINAS                      2222999925072011
12345678919MARILIA                       GOGOIANIA                       2222333321122011
12345678920ANTONIA                       SEARACAJU                       5555333306112010
12345678921MARISTELA                     BASALVADOR                      2222888815072011
12345678922JENNIFER                      PERECIFE                        1111555509022010
12345678923MARCELINA                     MGUBERLANDIA                    3333444413062010
12345678924FABIO                         MGOURO PRETO                    7777444411052011

