                                                                                
                    RELACAO DE VALORES DO TRANSPORTE PAGO             PAG.   1  
                      PARA TRABALHADOR DO DPTO DE TI                            

     NOME                               VALOR PAGO                              
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 CLEYTON PAES                               7.677.4644                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                           MAURO BARBOSA                              2.197.5168                          
                    RELACAO DE VALORES DO TRANSPORTE PAGO             PAG.   2  
                      PARA TRABALHADOR DO DPTO DE TI                            

     NOME                               VALOR PAGO                              
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          
 MAURO BARBOSA                              2.197.5168                          